CNPJ,FIRM_NAME,CVM_FIRM_TYPE,CVM_CODE,CVM_STATUS
06.011.779/0001-27,AGROPASTORIL CANTANHEDE SA,CIAS INCENTIVADAS REGISTRADAS,510173,Cancelado em 14/02/2012
07.680.093/0001-91,AGROPASTORIL DOIS ACUDES S/A,CIAS INCENTIVADAS REGISTRADAS,505102,Cancelado em 14/02/2012
02.007.196/0001-71,AGROPASTORIL ESTRELA DO ORIENTE SA,CIAS INCENTIVADAS REGISTRADAS,518697,Cancelado em 10/06/2011
07.093.305/0001-34,AGROPASTORIL GADO BRANCO SA,CIAS INCENTIVADAS REGISTRADAS,514462,Cancelado em 19/01/2011
08.818.981/0001-90,AGROPASTORIL GALDINO SA,CIAS INCENTIVADAS REGISTRADAS,501751,Cancelado em 28/09/2008
23.434.400/0001-00,AGROPASTORIL IPUIRU SA,CIAS INCENTIVADAS REGISTRADAS,506664,Cancelado em 28/09/2008
04.365.615/0001-72,AGROPASTORIL JAFFARABAD SA,CIAS INCENTIVADAS REGISTRADAS,512966,Cancelado em 14/02/2012
08.317.364/0001-01,AGROPASTORIL JOSE IVO SA,CIAS INCENTIVADAS REGISTRADAS,505323,Cancelado em 14/02/2012
08.993.933/0001-39,AGROPASTORIL LAGOA DE CIMA S/A - LACIMA,CIAS INCENTIVADAS REGISTRADAS,501271,Cancelado em 03/04/2009
05.512.116/0001-23,AGROPASTORIL LIVRAMENTO SA,CIAS INCENTIVADAS REGISTRADAS,506184,Cancelado em 14/02/2012
04.856.522/0001-40,AGROPASTORIL MURRAH S/A - AGROMURRAH,CIAS INCENTIVADAS REGISTRADAS,507261,Cancelado em 14/02/2012
04.705.570/0001-38,AGROPASTORIL RIO CUNANY SA,CIAS INCENTIVADAS REGISTRADAS,509400,Cancelado em 28/09/2008
43.126.184/0001-43,AGROPASTORIL RODA VELHA SA,CIAS INCENTIVADAS REGISTRADAS,504017,Cancelado em 22/10/2007
25.129.453/0001-43,AGROPASTORIL SANGUINETTE SA AGROSAN,CIAS INCENTIVADAS REGISTRADAS,519561,Cancelado em 17/07/2013
11.539.392/0001-88,AGROPASTORIL SERRA DA EMA SA,CIAS INCENTIVADAS REGISTRADAS,507873,Cancelado em 28/09/2008
11.539.392/0001-88,AGROPASTORIL SERRA DA EMA SA,CIAS INCENTIVADAS REGISTRADAS,519162,Cancelado em 25/11/2011
09.597.170/0001-70,AGROPEC AGUA BRANCA SA,CIAS INCENTIVADAS REGISTRADAS,504084,Cancelado em 28/09/2008
05.363.767/0001-07,AGROPEC ALTEROSA SA,CIAS INCENTIVADAS REGISTRADAS,512567,Cancelado em 14/02/2012
05.363.767/0001-07,AGROPEC ALTEROSA SA,CIAS INCENTIVADAS REGISTRADAS,520870,Cancelado em 28/12/2018
04.599.353/0001-00,AGROPEC AMAMBAI SA,CIAS INCENTIVADAS REGISTRADAS,504602,Cancelado em 14/02/2012
09.569.724/0001-25,AGROPEC ANGELUS SA,CIAS INCENTIVADAS REGISTRADAS,503371,Cancelado em 14/02/2012
04.697.033/0001-93,AGROPEC AQUARIUS SA,CIAS INCENTIVADAS REGISTRADAS,519030,Cancelado em 11/11/2010
04.407.979/0001-78,AGROPEC ARUANA SA,CIAS INCENTIVADAS REGISTRADAS,505188,Cancelado em 26/05/1995
04.851.523/0001-00,AGROPEC BAIXO AMAZONAS SA,CIAS INCENTIVADAS REGISTRADAS,517763,Cancelado em 01/08/2016
05.426.804/0001-70,AGROPEC BARRA DAS PRINCESAS SA,CIAS INCENTIVADAS REGISTRADAS,509647,Cancelado em 28/08/1998
04.987.376/0001-92,AGROPEC BEBEDOURO SA,CIAS INCENTIVADAS REGISTRADAS,506966,Cancelado em 24/10/2012
21.363.270/0001-37,AGROPEC BELA VISTA SA,CIAS INCENTIVADAS REGISTRADAS,502286,Cancelado em 14/02/2012
04.022.489/0001-53,AGROPEC BELO HORIZONTE SA,CIAS INCENTIVADAS REGISTRADAS,508799,Cancelado em 14/02/2012
11.527.439/0001-93,AGROPEC BELO VALE SA,CIAS INCENTIVADAS REGISTRADAS,506524,Cancelado em 08/04/1997
21.706.502/0001-02,AGROPEC BETANIA SA,CIAS INCENTIVADAS REGISTRADAS,503967,Cancelado em 14/02/2012
12.791.281/0001-27,AGROPEC BOA ESPERANCA SA,CIAS INCENTIVADAS REGISTRADAS,511781,Cancelado em 14/02/2012
