Nome;Classe;Código;CNPJ;Nome;Tipo de Ativo;ISIN;Setor Econômico|Bovespa;Subsetor Bovespa;Segmento Bovespa
Banespa;ON;BESP3;61411633000187;Banespa;Ação;-;-;-;-
Banespa;PN;BESP4;61411633000187;Banespa;Ação;-;-;-;-
Banestado;PN;BEPA4;76492172000191;Banestado;Ação;-;-;-;-
Banestes;ON;BEES3;28127603000178;Banestes;Ação;BRBEESACNOR9;Financeiro;Intermediários financeiros;Bancos
Banestes;PN;BEES4;28127603000178;Banestes;Ação;BRBEESACNPR6;Financeiro;Intermediários financeiros;Bancos
Banex S/A;ON;LOSA3;33550104000129;Banex S/A;Ação;-;-;-;-
Banex S/A;PN;LOSA4;33550104000129;Banex S/A;Ação;-;-;-;-
Banorte;ON;BNNE3;-;Banorte;Ação;-;-;-;-
Banpara;ON;BPAR3;4913711000108;Banpara;Ação;BRBPARACNOR5;Financeiro;Intermediários financeiros;Bancos
Banrisul;ON;BRSR3;92702067000196;Banrisul;Ação;BRBRSRACNOR3;Financeiro;Intermediários financeiros;Bancos
Banrisul;PNA;BRSR5;92702067000196;Banrisul;Ação;BRBRSRACNPA6;Financeiro;Intermediários financeiros;Bancos
Banrisul;PNB;BRSR6;92702067000196;Banrisul;Ação;BRBRSRACNPB4;Financeiro;Intermediários financeiros;Bancos
Banrisul;UnN1;BRSR11;92702067000196;Banrisul;Ação;-;Financeiro;Intermediários financeiros;Bancos
Banrisul Armazens Gerais S/A;ON;15822 ON;92721232000157;Banrisul Armazens Gerais S/A;Ação;-;-;-;-
Banrisul Cartões S/A;ON;24554 ON;92934215000106;Banrisul Cartões S/A;Ação;-;-;-;-
Banrisul Cartões S/A;PN;24554 PN;92934215000106;Banrisul Cartões S/A;Ação;-;-;-;-
Bardella;ON;BDLL3;60851615000153;Bardella;Ação;BRBDLLACNOR1;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
Bardella;PN;BDLL4;60851615000153;Bardella;Ação;BRBDLLACNPR8;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
Barigui Securitizadora S/A;ON;21920 ON;10608405000160;Barigui Securitizadora S/A;Ação;-;-;-;-
Base Securitizadora de Cred Imob SA;ON;24970 ON;35082277000195;Base Securitizadora de Cred Imob SA;Ação;-;-;-;-
Basel Participacoes S/A;ON;21601 ON;9462140000156;Basel Participacoes S/A;Ação;-;-;-;-
Baumer;ON;BALM3;61374161000130;Baumer;Ação;BRBALMACNOR5;Saúde;Equipamentos;Equipamentos
Baumer;PN;BALM4;61374161000130;Baumer;Ação;BRBALMACNPR2;Saúde;Equipamentos;Equipamentos
Bbmlogistica;ON;BBML3;1107327000120;Bbmlogistica;Ação;BRBBMLACNOR3;Bens industriais;Serviços diversos;Serviços diversos
